ID,Points:0,Points:1
14.843,0.377828,-0.359441
14.8915,0.378246,-0.364098
14.9401,0.378691,-0.368733
14.9887,0.379156,-0.37335
15.0372,0.379638,-0.377951
15.0858,0.380131,-0.382538
15.1343,0.380632,-0.387115
15.1829,0.381134,-0.391684
15.2315,0.381634,-0.396248
15.28,0.382127,-0.400809
15.3286,0.382611,-0.405369
15.3772,0.383086,-0.409928
15.4257,0.383551,-0.414486
15.4743,0.384006,-0.419044
15.5229,0.384449,-0.423602
15.5714,0.384882,-0.42816
15.62,0.385302,-0.43272
15.6686,0.38571,-0.43728
15.7171,0.386105,-0.441842
15.7657,0.386486,-0.446407
15.8143,0.386854,-0.450974
15.8628,0.387207,-0.455543
15.9114,0.387546,-0.460116
15.96,0.38787,-0.464692
16,0.388124,-0.468467
16.04,0.38787,-0.464692
16.0886,0.387546,-0.460116
16.1372,0.387207,-0.455543
16.1857,0.386854,-0.450974
16.2343,0.386486,-0.446407
16.2829,0.386105,-0.441842
16.3314,0.38571,-0.43728
16.38,0.385302,-0.43272
16.4286,0.384882,-0.42816
16.4771,0.384449,-0.423602
16.5257,0.384006,-0.419044
16.5743,0.383551,-0.414486
16.6228,0.383086,-0.409928
16.6714,0.382611,-0.405369
16.72,0.382127,-0.400809
16.7685,0.381634,-0.396248
16.8171,0.381134,-0.391684
16.8657,0.380632,-0.387115
16.9142,0.380131,-0.382538
16.9628,0.379638,-0.377951
17.0113,0.379156,-0.37335
17.0599,0.378691,-0.368733
17.1085,0.378246,-0.364098
17.157,0.377828,-0.359441
17.2056,0.377441,-0.35476
17.2541,0.37709,-0.350052
17.3027,0.376779,-0.345315
17.3512,0.376514,-0.340546
17.3998,0.376299,-0.335741
17.4483,0.376141,-0.330898
17.4968,0.376044,-0.326014
17.5454,0.376012,-0.321085
17.5939,0.376052,-0.316109
17.6424,0.376169,-0.311081
17.6909,0.376367,-0.305998
17.7394,0.376653,-0.300856
17.7879,0.377032,-0.295652
17.8364,0.377509,-0.290385
17.8843,0.378082,-0.285104
17.9315,0.378753,-0.279822
17.9781,0.379522,-0.274539
18.024,0.380388,-0.269253
18.0693,0.381353,-0.263963
18.1138,0.382416,-0.258668
18.1576,0.383576,-0.253368
18.2008,0.384833,-0.24806
18.2433,0.386186,-0.242744
18.285,0.387632,-0.237421
18.3261,0.389165,-0.232091
18.3665,0.390774,-0.226761
18.4061,0.392444,-0.221438
18.4451,0.394164,-0.216125
18.4834,0.395922,-0.210828
18.5209,0.397708,-0.205551
18.5578,0.399512,-0.2003
18.594,0.401324,-0.19508
18.6295,0.403137,-0.189892
18.6644,0.404942,-0.184742
18.6986,0.406734,-0.179631
18.7321,0.408505,-0.174564
18.765,0.41025,-0.169543
18.7973,0.411964,-0.16457
18.829,0.413642,-0.159649
18.86,0.41528,-0.154783
18.8905,0.416875,-0.149972
18.9204,0.418423,-0.145219
18.9497,0.419921,-0.140525
18.9784,0.421369,-0.135892
19.0065,0.422758,-0.131335
19.0339,0.424084,-0.126871
19.0606,0.425345,-0.122502
19.0867,0.426544,-0.118225
19.1121,0.427679,-0.11404
19.1368,0.428751,-0.109946
19.1609,0.429762,-0.105941
19.1845,0.430713,-0.102025
19.2074,0.431604,-0.098196
19.2298,0.432437,-0.0944532
19.2517,0.433213,-0.0907959
19.273,0.433934,-0.087222
19.2938,0.434601,-0.0837301
19.3141,0.435216,-0.0803178
19.334,0.43578,-0.0769842
19.3534,0.436296,-0.073727
19.3723,0.436765,-0.0705451
19.3909,0.437188,-0.0674368
19.4089,0.437567,-0.0644006
19.4266,0.437904,-0.0614346
19.4439,0.4382,-0.0585378
19.4608,0.438457,-0.055707
19.4774,0.438678,-0.0529394
19.4935,0.438863,-0.0502321
19.5094,0.439014,-0.0475829
19.5248,0.439133,-0.0449897
19.54,0.439221,-0.0424501
19.5548,0.439279,-0.0399629
19.5694,0.43931,-0.0375261
19.5836,0.439313,-0.035138
19.5975,0.43929,-0.0327975
19.6112,0.439243,-0.0305036
19.6245,0.439173,-0.0282545
19.6376,0.43908,-0.0260492
19.6504,0.438966,-0.0238875
19.663,0.438831,-0.0217682
19.6753,0.438677,-0.0196911
19.6874,0.438504,-0.0176557
19.6993,0.438314,-0.0156609
19.7109,0.438106,-0.0137065
19.7223,0.437882,-0.0117916
19.7335,0.437643,-0.00991563
19.7444,0.437389,-0.00807796
19.7552,0.437121,-0.00627771
19.7658,0.436839,-0.00451374
19.7761,0.436546,-0.0027833
19.7863,0.436241,-0.00108384
19.7963,0.435925,0.000587541
19.8061,0.435599,0.00223406
19.8158,0.435264,0.00385883
19.8252,0.434921,0.00546444
19.8345,0.434572,0.0070529
19.8436,0.434216,0.0086263
19.8526,0.433855,0.0101859
19.8614,0.433489,0.0117321
19.87,0.433117,0.0132744
19.8786,0.432742,0.014806
19.8869,0.432364,0.0163278
19.8951,0.431984,0.01784
19.9031,0.431601,0.0193429
19.911,0.431217,0.0208362
19.9188,0.430831,0.0223188
19.9263,0.430445,0.02379
19.9338,0.430058,0.0252489
19.9411,0.429672,0.026694
19.9483,0.429285,0.028123
19.9553,0.428899,0.0295344
19.9622,0.428514,0.0309268
19.9689,0.42813,0.0322989
19.9755,0.427748,0.03365
19.982,0.427367,0.0349792
19.9884,0.426988,0.0362863
19.9947,0.426611,0.0375707
20.0008,0.426237,0.038832
20.0068,0.425865,0.0400702
20.0127,0.425496,0.0412854
20.0185,0.42513,0.0424775
20.0242,0.424766,0.0436492
20.0298,0.424406,0.0448069
20.0353,0.424048,0.0459562
20.0406,0.423693,0.0471021
20.0459,0.42334,0.0482487
20.051,0.422991,0.0494001
20.0561,0.422643,0.0505618
20.061,0.422298,0.0517388
20.0658,0.421956,0.0529352
20.0705,0.421615,0.0541539
20.0751,0.421277,0.0553968
20.0795,0.420942,0.0566651
20.0839,0.420609,0.0579589
20.088,0.420279,0.0592776
20.0921,0.419952,0.0606194
20.096,0.419629,0.0619823
20.0998,0.419308,0.0633631
20.1034,0.418992,0.064758
20.1069,0.41868,0.0661609
20.1103,0.418373,0.0675645
20.1135,0.418071,0.0689629
20.1166,0.417775,0.0703496
20.1196,0.417486,0.0717198
20.1225,0.417202,0.0730685
20.1252,0.416926,0.0743915
20.1278,0.416656,0.0756848
20.1303,0.416394,0.0769452
20.1327,0.416139,0.0781708
20.1349,0.415892,0.0793597
20.1371,0.415652,0.0805107
20.1392,0.41542,0.0816233
20.1412,0.415195,0.0826973
20.1431,0.414978,0.0837325
20.1449,0.414768,0.0847295
20.1467,0.414565,0.0856894
