Point ID,Points:0,Points:1,Points:2
2351,12.1278,-0.458335,0.0496035
2401,12.1279,-0.464174,0.0671802
2885,12.1321,-0.433211,0.0128882
2400,12.1308,-0.464174,0.0646663
5712,12.1311,-0.4656,0.0713995
2342,12.1316,-0.458335,0.0482294
2339,12.1335,-0.458335,0.0475683
2399,12.1338,-0.464174,0.0622981
2397,12.1353,-0.464174,0.0611698
2334,12.1373,-0.458335,0.0462901
2954,12.1386,-0.433489,0.0117321
2392,12.1384,-0.464174,0.0590228
2303,12.1413,-0.440817,0.0202098
2290,12.1414,-0.452496,0.0364734
2323,12.1412,-0.458335,0.0450602
2389,12.1417,-0.464174,0.0570193
2377,12.145,-0.464174,0.0551551
2376,12.1468,-0.464174,0.0542722
2374,12.1485,-0.464174,0.0534198
2370,12.1503,-0.464174,0.0525966
2886,12.152,-0.434042,0.00938032
2368,12.152,-0.464174,0.0518008
2364,12.1557,-0.464174,0.0502853
2294,12.1572,-0.440817,0.0163319
2357,12.1575,-0.464174,0.0495624
2355,12.1594,-0.464174,0.0488608
2354,12.1613,-0.464174,0.0481786
2352,12.1632,-0.464174,0.0475145
2341,12.1651,-0.464174,0.0468668
2340,12.1689,-0.464174,0.0456143
2887,12.1714,-0.434795,0.00604255
2295,12.1731,-0.440817,0.0126202
2307,12.1728,-0.452496,0.0277595
2432,12.1728,-0.464174,0.0444084
2322,12.1767,-0.464174,0.0432367
5923,12.1795,-0.474455,0.0689202
2321,12.1807,-0.464174,0.0420903
2460,12.1836,-0.470013,0.0509976
2462,12.1854,-0.470013,0.0502434
5922,12.1855,-0.47556,0.0686107
2301,12.1885,-0.452496,0.0236185
2297,12.1891,-0.440817,0.00905486
517,12.188,-0.475853,0.0675902
2313,12.1886,-0.464174,0.0398524
2455,12.1891,-0.470013,0.0488051
2450,12.191,-0.470013,0.048118
518,12.1909,-0.475853,0.0650225
2452,12.1929,-0.470013,0.04745
2447,12.1948,-0.470013,0.0467996
5925,12.1951,-0.47732,0.0681179
2448,12.1967,-0.470013,0.0461653
2473,12.1968,-0.475853,0.0602986
2431,12.2005,-0.470013,0.0449384
2469,12.2015,-0.475853,0.0571384
2304,12.2042,-0.452496,0.0196563
5924,12.2035,-0.478866,0.0676851
2282,12.2052,-0.440817,0.00561567
2315,12.2044,-0.464174,0.0354757
2436,12.2044,-0.470013,0.0437566
2445,12.2048,-0.475853,0.055209
2467,12.2065,-0.475853,0.0542959
2888,12.2102,-0.436132,-0.000501169
2466,12.2099,-0.475853,0.0525673
2459,12.2116,-0.475853,0.0517486
2435,12.2123,-0.470013,0.0414823
2458,12.2134,-0.475853,0.0509582
2464,12.2152,-0.475853,0.0501945
2461,12.2188,-0.475853,0.0487409
2293,12.22,-0.452496,0.0158707
2454,12.2226,-0.475853,0.0473752
2453,12.2244,-0.475853,0.0467214
2953,12.2271,-0.436638,-0.00331358
2501,12.2253,-0.481692,0.0615491
2451,12.2263,-0.475853,0.0460847
2504,12.2283,-0.481692,0.0592988
2503,12.2314,-0.481692,0.0571947
2444,12.2321,-0.475853,0.0442625
2299,12.2359,-0.452496,0.0122451
2309,12.2358,-0.464174,0.0270022
2283,12.2374,-0.440817,-0.000964624
2496,12.2414,-0.481692,0.0517149
2487,12.2432,-0.481692,0.050913
2492,12.245,-0.481692,0.050139
5717,12.2452,-0.486477,0.0655539
2488,12.2468,-0.481692,0.0493913
2889,12.249,-0.437228,-0.00698376
2475,12.2504,-0.481692,0.0479687
2296,12.2518,-0.452496,0.00876003
2308,12.2514,-0.464174,0.0229665
5719,12.251,-0.487531,0.0652587
570,12.2538,-0.487531,0.0628649
2480,12.2541,-0.481692,0.0466324
2482,12.256,-0.481692,0.0459927
