ID,Points:0,Points:1
0.488216,0.039797,0.0149907
0.501823,0.0406658,0.015392
0.515515,0.0415257,0.0157947
0.52929,0.0423766,0.0161988
0.543146,0.0432183,0.0166042
0.557084,0.0440507,0.0170108
0.571103,0.0448739,0.0174186
0.585202,0.0456879,0.0178277
0.59938,0.0464925,0.0182379
0.613635,0.0472876,0.0186492
0.627967,0.0480734,0.0190615
0.642375,0.0488497,0.0194749
0.656858,0.0496166,0.0198892
0.671416,0.0503741,0.0203045
0.686048,0.0511222,0.0207206
0.70075,0.0518609,0.0211376
0.715524,0.0525902,0.0215554
0.730368,0.0533103,0.0219739
0.745282,0.0540211,0.0223932
0.760267,0.0547229,0.0228132
0.775318,0.0554155,0.0232339
0.790436,0.0560991,0.0236551
0.805619,0.0567739,0.0240769
0.820868,0.0574398,0.0244992
0.836181,0.0580972,0.0249221
0.851558,0.058746,0.0253454
0.866999,0.0593864,0.0257691
0.8825,0.0600186,0.0261932
0.898063,0.0606428,0.0266177
0.913686,0.0612591,0.0270425
0.929368,0.0618676,0.0274676
0.94511,0.0624686,0.027893
0.960909,0.0630623,0.0283186
0.976767,0.063649,0.0287444
0.992682,0.0642287,0.0291704
1.00865,0.0648018,0.0295966
1.02468,0.0653685,0.0300228
1.04076,0.0659289,0.0304492
1.05689,0.0664834,0.0308755
1.07308,0.0670323,0.031302
1.08932,0.0675757,0.0317284
1.10562,0.0681141,0.0321549
1.12196,0.0686477,0.0325813
1.13836,0.0691767,0.0330077
1.15481,0.0697015,0.033434
1.17131,0.0702224,0.0338602
1.18786,0.0707396,0.0342862
1.20446,0.0712537,0.0347121
1.22111,0.0717648,0.0351379
1.23781,0.0722734,0.0355635
1.25456,0.0727798,0.035989
1.27135,0.0732843,0.0364142
1.2882,0.0737874,0.0368393
1.30509,0.0742894,0.0372641
1.32204,0.0747906,0.0376887
1.33903,0.0752916,0.0381131
1.35607,0.0757927,0.0385372
1.37316,0.0762943,0.0389611
1.3903,0.0767969,0.0393847
1.40748,0.0773008,0.0398081
1.42472,0.0778066,0.0402311
1.442,0.0783146,0.040654
1.45934,0.0788252,0.0410765
1.47672,0.0793391,0.0414987
1.49416,0.0798567,0.0419207
1.51164,0.0803783,0.0423424
1.52917,0.0809046,0.0427638
1.54681,0.0814375,0.0431862
1.56453,0.0819766,0.0436091
1.58237,0.0825229,0.0440333
1.60034,0.0830763,0.0444588
1.61842,0.083637,0.0448857
1.63663,0.0842048,0.0453137
1.65496,0.0847797,0.0457431
1.67342,0.085362,0.0461737
1.692,0.0859515,0.0466056
1.71071,0.0865483,0.0470388
1.72955,0.0871522,0.0474732
1.74852,0.0877634,0.0479088
1.76762,0.0883819,0.0483457
1.78685,0.0890075,0.0487838
1.80622,0.0896405,0.0492231
1.82573,0.0902807,0.0496637
1.84537,0.0909282,0.0501055
1.86515,0.0915828,0.0505484
1.88507,0.0922447,0.0509926
1.90513,0.0929137,0.0514379
1.92533,0.0935897,0.0518843
1.94568,0.0942729,0.0523319
1.96617,0.0949632,0.0527806
1.98681,0.0956605,0.0532305
2.0076,0.0963648,0.0536814
2.02853,0.0970759,0.0541334
2.04962,0.0977939,0.0545864
2.07086,0.0985188,0.0550405
2.09225,0.0992503,0.0554956
2.11379,0.0999885,0.0559516
2.13549,0.100733,0.0564086
2.15735,0.101484,0.0568665
2.17936,0.102242,0.0573254
2.20154,0.103006,0.0577852
2.22388,0.103776,0.0582458
2.24637,0.104552,0.0587071
2.26903,0.105334,0.0591693
2.29186,0.106122,0.0596323
2.31485,0.106915,0.0600959
2.33801,0.107714,0.0605603
2.36133,0.108518,0.0610253
2.38483,0.109328,0.061491
2.4085,0.110143,0.0619572
2.43233,0.110962,0.0624239
2.45634,0.111786,0.0628912
2.48053,0.112614,0.0633589
2.50489,0.113447,0.0638271
2.52943,0.114283,0.0642956
2.55414,0.115123,0.0647643
2.57904,0.115967,0.0652334
2.60411,0.116814,0.0657028
2.62936,0.117664,0.0661722
2.6548,0.118517,0.0666418
2.68042,0.119371,0.0671114
2.70622,0.120228,0.067581
2.7322,0.121087,0.0680505
2.75837,0.121947,0.0685199
2.78473,0.122808,0.0689892
2.81127,0.12367,0.0694582
2.83801,0.124532,0.0699269
2.86493,0.125394,0.0703953
2.89204,0.126255,0.0708631
2.91934,0.127116,0.0713305
2.94683,0.127975,0.0717973
2.97451,0.128832,0.0722634
3.00238,0.129687,0.0727288
3.03045,0.130538,0.0731933
3.0587,0.131387,0.0736569
3.08715,0.132232,0.0741196
3.11579,0.133073,0.0745812
3.14463,0.13391,0.0750417
3.17366,0.134744,0.075501
3.20289,0.135574,0.075959
3.23231,0.136401,0.0764156
3.26192,0.137225,0.0768707
3.29173,0.138046,0.0773243
3.32174,0.138864,0.0777763
3.35195,0.139679,0.0782266
3.38234,0.140492,0.0786751
3.41294,0.141303,0.0791218
3.44373,0.142111,0.0795664
3.47473,0.142917,0.0800091
3.50592,0.143722,0.0804496
3.53731,0.144526,0.0808879
3.5689,0.145328,0.0813239
3.6007,0.14613,0.0817575
3.63269,0.146931,0.0821887
3.66488,0.147731,0.0826172
3.69728,0.148532,0.0830432
3.72988,0.149333,0.0834664
3.76269,0.150135,0.0838867
3.7957,0.150938,0.0843042
3.82891,0.151743,0.0847186
3.86234,0.152549,0.0851299
3.89596,0.153358,0.085538
3.9298,0.154169,0.0859428
3.96384,0.154984,0.0863441
3.9981,0.155802,0.0867421
4.03257,0.156624,0.0871364
4.06725,0.157451,0.0875271
4.10214,0.158283,0.0879139
4.13724,0.159121,0.0882969
4.17256,0.159964,0.0886759
4.20811,0.160815,0.0890508
4.24387,0.161673,0.0894216
4.27985,0.162539,0.089788
4.31605,0.163414,0.0901501
4.35247,0.164298,0.0905076
4.38912,0.165192,0.0908606
4.426,0.166097,0.0912089
4.46311,0.167014,0.0915523
4.50044,0.167942,0.0918908
4.538,0.168884,0.0922242
4.5758,0.16984,0.0925525
4.61384,0.17081,0.0928755
4.65211,0.171795,0.0931932
4.69063,0.172795,0.0935053
4.72938,0.17381,0.0938117
4.76838,0.17484,0.0941124
4.80763,0.175884,0.0944072
4.84713,0.176943,0.094696
4.88688,0.178016,0.0949787
4.92688,0.179104,0.095255
4.96714,0.180206,0.0955248
5.00766,0.181322,0.0957881
5.04843,0.182452,0.0960447
5.08947,0.183597,0.0962943
5.13078,0.184755,0.096537
5.17235,0.185926,0.0967724
5.21418,0.187111,0.0970005
5.25629,0.188309,0.0972211
5.29867,0.189521,0.097434
5.34133,0.190745,0.097639
5.38426,0.191982,0.0978361
5.42748,0.193231,0.098025
5.47098,0.194492,0.0982055
5.51476,0.195766,0.0983774
5.55882,0.19705,0.0985407
5.60318,0.198347,0.098695
5.64782,0.199654,0.0988403
5.69276,0.200972,0.0989762
5.73798,0.2023,0.0991026
5.78351,0.203639,0.0992194
5.82932,0.204986,0.0993262
5.87544,0.206344,0.099423
5.92185,0.207709,0.0995094
5.96858,0.209084,0.0995854
6.01561,0.210466,0.0996506
6.06294,0.211856,0.0997048
6.11058,0.213252,0.0997479
6.15853,0.214655,0.0997796
6.2068,0.216065,0.0997996
6.25537,0.217482,0.0998078
6.30415,0.218904,0.0998039
6.35294,0.220325,0.0997879
6.40172,0.221744,0.0997598
6.45051,0.223164,0.0997195
6.4993,0.224584,0.099667
6.54809,0.226004,0.0996025
6.59688,0.227426,0.0995257
6.64567,0.228848,0.0994368
6.69446,0.230273,0.0993358
6.74324,0.231699,0.0992226
6.79203,0.233129,0.0990973
6.84082,0.234561,0.0989598
6.88961,0.235997,0.0988101
6.93839,0.237437,0.0986483
6.98718,0.238881,0.0984743
7.03596,0.240329,0.0982882
7.08475,0.241784,0.0980899
7.13354,0.243243,0.0978794
7.18233,0.244708,0.0976568
7.23111,0.24618,0.097422
7.27989,0.247659,0.097175
7.32868,0.249145,0.0969158
7.37747,0.250639,0.0966445
7.42626,0.25214,0.096361
7.47504,0.253651,0.0960653
7.52382,0.25517,0.0957574
7.57261,0.256698,0.0954374
7.6214,0.258236,0.0951051
7.67018,0.259785,0.0947607
7.71896,0.261343,0.0944042
7.76774,0.26291,0.0940354
7.81652,0.264487,0.0936545
7.86531,0.266071,0.0932614
7.91409,0.267664,0.0928561
7.96288,0.269263,0.0924387
8.01166,0.270869,0.0920092
8.06044,0.27248,0.0915675
8.10922,0.274097,0.0911137
8.158,0.275719,0.0906478
8.20678,0.277345,0.0901698
8.25556,0.278974,0.0896797
8.30434,0.280606,0.0891774
8.35312,0.282241,0.088663
8.40189,0.283878,0.0881366
8.45067,0.285516,0.087598
8.49945,0.287154,0.0870474
8.54823,0.288793,0.0864846
8.59701,0.290431,0.0859098
8.6458,0.292068,0.0853229
8.69457,0.293704,0.084724
8.74335,0.295337,0.084113
8.79213,0.296967,0.0834899
8.84091,0.298594,0.0828548
8.88969,0.300218,0.0822076
8.93847,0.301836,0.0815483
8.98725,0.30345,0.0808772
9.03603,0.305057,0.0801939
9.08481,0.306659,0.0794986
9.13359,0.308254,0.0787913
9.18237,0.309841,0.078072
9.23115,0.311421,0.0773406
9.27993,0.312994,0.0765972
9.32871,0.314562,0.0758417
9.37749,0.316126,0.0750741
9.42628,0.317686,0.0742944
9.47506,0.319243,0.0735027
9.52384,0.320799,0.0726987
9.57262,0.322354,0.0718825
9.6214,0.32391,0.0710541
9.67018,0.325467,0.0702135
9.71896,0.327026,0.0693607
9.76774,0.328589,0.0684955
9.81652,0.330156,0.0676181
9.8653,0.331728,0.0667284
9.91408,0.333307,0.0658263
9.96286,0.334893,0.0649118
10.0116,0.336487,0.063985
10.0604,0.33809,0.0630458
10.1092,0.339703,0.0620941
10.158,0.341327,0.0611301
10.2067,0.342964,0.0601535
10.2555,0.344614,0.0591644
10.3043,0.346278,0.0581629
10.3531,0.347956,0.0571488
10.4018,0.349651,0.0561221
10.4506,0.351364,0.0550827
10.4994,0.353093,0.0540308
10.5481,0.354842,0.0529664
10.5969,0.356611,0.0518891
10.6457,0.358401,0.0507994
10.6944,0.360213,0.0496967
10.7432,0.362048,0.0485815
10.792,0.363911,0.0474536
10.8407,0.365804,0.0463136
10.8895,0.367733,0.0451614
10.9383,0.369701,0.0439972
10.987,0.371711,0.0428212
11.0358,0.373769,0.0416337
11.0845,0.375877,0.0404348
11.1333,0.37804,0.0392246
11.182,0.380262,0.0380033
11.2308,0.382547,0.0367712
11.2795,0.384898,0.0355285
11.3282,0.38732,0.0342752
11.377,0.389815,0.0330118
11.4734,0.394396,0.0570971
11.5111,0.396299,0.0606036
11.5663,0.399409,0.0604954
11.6348,0.403052,0.0666763
11.6772,0.404893,0.0760601
11.7083,0.406603,0.0780351
11.7429,0.408463,0.080659
11.7674,0.409681,0.0834157
11.7831,0.410552,0.0841592
11.7966,0.411301,0.084726
11.8083,0.412043,0.0843289
11.8217,0.41273,0.0853903
11.8302,0.413221,0.0855191
11.8397,0.413822,0.0851693
11.8472,0.414232,0.0854683
11.8514,0.414507,0.0851529
