Point ID,Points:0,Points:1,Points:2
3309,12.0012,-0.434385,0.0903142
3265,12.0018,-0.44007,0.0842827
3310,12.0022,-0.434385,0.0903694
3304,12.0033,-0.434385,0.0904202
3266,12.0037,-0.44007,0.0848219
3305,12.0043,-0.434385,0.0904666
3267,12.0047,-0.44007,0.0850788
3311,12.0053,-0.434385,0.090509
3259,12.0056,-0.44007,0.0853271
3312,12.0064,-0.434385,0.0905476
3260,12.0066,-0.44007,0.0855664
3285,12.0074,-0.434385,0.0905825
3272,12.0076,-0.44007,0.0857966
3286,12.0084,-0.434385,0.0906139
3273,12.0086,-0.44007,0.0860175
3323,12.0095,-0.434385,0.0906422
3270,12.0096,-0.44007,0.0862291
3271,12.0105,-0.44007,0.0864315
3324,12.0115,-0.434385,0.09069
3274,12.0115,-0.44007,0.0866249
3275,12.0125,-0.44007,0.0868096
3325,12.0136,-0.434385,0.0907274
3268,12.0135,-0.44007,0.0869857
3269,12.0145,-0.44007,0.0871534
3278,12.0155,-0.44007,0.087313
3316,12.0157,-0.434385,0.0907563
3279,12.0165,-0.44007,0.0874647
3276,12.0175,-0.44007,0.0876086
3317,12.0178,-0.434385,0.0907782
3277,12.0185,-0.44007,0.087745
3280,12.0195,-0.44007,0.0878741
3326,12.0199,-0.434385,0.090795
3281,12.0205,-0.44007,0.0879961
3264,12.0209,-0.445755,0.0792697
3282,12.0215,-0.44007,0.0881112
3283,12.0225,-0.44007,0.0882196
3335,12.0235,-0.44007,0.0883216
3203,12.024,-0.434385,0.0908197
3336,12.0246,-0.44007,0.0884172
2183,12.0247,-0.445755,0.0806225
3333,12.0256,-0.44007,0.0885069
3334,12.0266,-0.44007,0.0885906
2204,12.0266,-0.445755,0.0812636
3337,12.0276,-0.44007,0.0886687
3424,12.0286,-0.422956,0.0950314
2206,12.0285,-0.445755,0.0818788
3338,12.0286,-0.44007,0.0887414
3348,12.0293,-0.423015,0.0950257
3331,12.0297,-0.44007,0.0888089
2202,12.0304,-0.445755,0.0824662
3332,12.0307,-0.44007,0.0888713
3423,12.0313,-0.423084,0.0950485
3340,12.0317,-0.44007,0.0889289
3204,12.0323,-0.434385,0.090877
2179,12.0323,-0.445755,0.083024
3341,12.0327,-0.44007,0.0889819
3339,12.0338,-0.44007,0.0890306
2180,12.0342,-0.445755,0.0835503
2176,12.0352,-0.445755,0.0838011
3352,12.0365,-0.434385,0.0909214
2173,12.0362,-0.445755,0.0840433
2200,12.0372,-0.445755,0.0842767
3329,12.0379,-0.44007,0.0891853
2165,12.0381,-0.445755,0.0845012
3330,12.0389,-0.44007,0.0892151
2167,12.0391,-0.445755,0.0847166
3344,12.04,-0.44007,0.0892418
2162,12.0401,-0.445755,0.0849229
3349,12.0406,-0.434385,0.0909757
2168,12.0411,-0.445755,0.0851201
3342,12.042,-0.44007,0.0892864
2156,12.0421,-0.445755,0.0853085
2157,12.0431,-0.445755,0.0854883
2151,12.044,-0.445755,0.0856598
2169,12.045,-0.445755,0.085823
2144,12.046,-0.445755,0.0859783
2145,12.047,-0.445755,0.0861258
2139,12.048,-0.445755,0.0862657
3350,12.0489,-0.434385,0.0911103
2146,12.049,-0.445755,0.0863982
2133,12.05,-0.445755,0.0865236
3422,12.0508,-0.423998,0.0951404
2134,12.051,-0.445755,0.086642
2181,12.0514,-0.45144,0.0780996
2128,12.052,-0.445755,0.0867537
2197,12.0531,-0.445755,0.0868588
2238,12.0541,-0.445755,0.0869575
2237,12.0551,-0.445755,0.0870501
2182,12.0552,-0.45144,0.0794209
2240,12.0561,-0.445755,0.0871368
3346,12.0571,-0.434385,0.0912726
2234,12.0571,-0.445755,0.0872177
2203,12.0571,-0.45144,0.080047
3421,12.0584,-0.424345,0.0951544
2246,12.0581,-0.445755,0.0872931
2245,12.0591,-0.445755,0.0873632
2201,12.059,-0.45144,0.0806477
2249,12.0602,-0.445755,0.0874282
3489,12.0617,-0.424497,0.0951557
2178,12.0609,-0.45144,0.081221
2231,12.0612,-0.445755,0.0874882
2258,12.0622,-0.445755,0.0875436
2177,12.0629,-0.45144,0.0817653
2257,12.0632,-0.445755,0.0875944
2261,12.0643,-0.445755,0.0876409
2175,12.0648,-0.45144,0.0822788
2254,12.0653,-0.445755,0.0876834
2172,12.0658,-0.45144,0.0825233
2267,12.0663,-0.445755,0.0877219
2171,12.0667,-0.45144,0.0827595
2265,12.0673,-0.445755,0.0877568
2164,12.0677,-0.45144,0.0829871
2268,12.0684,-0.445755,0.0877882
2163,12.0687,-0.45144,0.0832058
2228,12.0694,-0.445755,0.0878163
2161,12.0697,-0.45144,0.0834157
2275,12.0704,-0.445755,0.0878413
2159,12.0706,-0.45144,0.0836166
3419,12.072,-0.424965,0.0951406
2155,12.0716,-0.45144,0.0838087
2274,12.0725,-0.445755,0.0878829
2153,12.0726,-0.45144,0.0839921
2150,12.0736,-0.45144,0.0841671
3343,12.0746,-0.445755,0.0879147
2148,12.0746,-0.45144,0.0843339
2143,12.0756,-0.45144,0.0844926
2270,12.0766,-0.445755,0.0879383
2141,12.0766,-0.45144,0.0846436
2138,12.0776,-0.45144,0.0847869
2269,12.0787,-0.445755,0.0879554
2136,12.0786,-0.45144,0.0849228
2132,12.0796,-0.45144,0.0850514
2130,12.0806,-0.45144,0.0851731
3345,12.0808,-0.445755,0.0879675
3418,12.0824,-0.425428,0.0950983
